node,type
TG 17,comic
"GRANT, MARY MEEKS",hero
XF 137,comic
"DWORMAN, JIM",hero
KBSS 1,comic
KZ3 19/2,comic
FF 165,comic
DRSTR3 46,comic
WOSM 44,comic
UTSM 1,comic
PSIMON,hero
HTD MAG 6/2,comic
"FONDOZZI, MICKEY",hero
H2 321,comic
IM 42,comic
"WILCOX, DR. BRENT",hero
ASM 352,comic
T 236,comic
KILLOBYTE,hero
PM 21,comic
NFV.S 6,comic
S-M 6,comic
AWC 86,comic
BW:CW,comic
DD 159,comic
SUB-M COMICS 42,comic
DHAWK 11,comic
WBN 17,comic
HOWLER/LUKE GARROW,hero
ASM 357,comic
"CHADWICK, CHEER",hero
"NALES, DET. REBECCA",hero
BLACK CRANE/,hero
DD 343,comic
FF3 5,comic
SUB-M 18,comic
XF 74,comic
FIZGIG/,hero
GR3 14,comic
ASPOT 37,comic
M/CHL 3,comic
AT 8/3,comic
ARCTURUS,hero
PUN2 1,comic
A 331,comic
"BARBAROSSA, VINNIE",hero
AWC 7/3,comic
"COOPER, WHITNEY III",hero
XCAL 79,comic
"OSBORN, NORMAN",hero
A 37,comic
ST 142,comic
IM 19,comic
UX 214,comic
MR. SCRATCH,hero
C&D2 3,comic
DAZZ 29,comic
SS3 51,comic
GSA 4,comic
DD 232,comic
XCAL 17,comic
"KRAMER, KENNY",hero
A 345,comic
TTA 83/2,comic
S-W 16,comic
TTA 77/2,comic
SS3 4,comic
PPTSS 69,comic
PPTSS 111,comic
ESON [CELESTIAL],hero
UX 252,comic
DEMOLITION MAN/DENNI,hero
"ROSE, JUSTICE",hero
"KRYZEWSKI, LEONARD M",hero
H2 147/2,comic
DOC SAMSON/DR. LEONA,hero
FF 254,comic
SHALAK,hero
IM3 39,comic
ANOMALY III,hero
PWJ 38,comic
MK 7,comic
CA3 28,comic
DEF 54,comic
M/CP 103/4,comic
LUCIFER II,hero
WCA2 33,comic
MM 17,comic
KZ4 13,comic
S-H2 36,comic
EXECUTIONER V,hero
TTA 49,comic
ZEUS,hero
PM 1,comic
"TREVANE, DET. CONNOR",hero
SLEEK,hero
"DONOHUE, TREVOR",hero
WM2 11,comic
BRUTACUS,hero
S-M 8,comic
NIGHT THRASHER/DUANE,hero
T 354,comic
SISTER AGONY,hero
ASM 41,comic
"GANCE, TABITHA TABBY",hero
T 209,comic
DRSTR3 15,comic
TTA 53/2,comic
T 417,comic
IM 204,comic
SB 8,comic
TOD 22,comic
LOCKJAW [INHUMAN],hero
M/CP 48/4,comic
TOTZ 2,comic
KLIGGER/SEN. EUGENE,hero
TRITON DOPPELGANGER,hero
VENUS 5,comic
"SMITH, KEVIN",hero
SUNSET GRACE,hero
"MARLES, DR. THOMAS",hero
M/CP 91/4,comic
GZILL 12,comic
LOBLOLLY/,hero
TG 1,comic
SSM&CB 247/2,comic
SCORCHER/,hero
H2 284,comic
A 19/3,comic
IM 255,comic
DEF2 3,comic
M/CP 81/3,comic
A 183,comic
FF 62,comic
SUNDOWN/DR. DAVE LOW,hero
MK 29,comic
FFOR 1,comic
CA 374,comic
A 130,comic
S-M 84,comic
SUB-M 42,comic
DD 179,comic
HULK/DR. ROBERT BRUC,hero
XF 44,comic
UX 48,comic
DEADMAKER/GREGORI AN,hero
M/TIO 86,comic
NF3 1,comic
COBWEB,hero
J 3,comic
"GRIPPO, BILLY",hero
TURBO II (B)/MIKE JE,hero
ICE 4,comic
ST 151,comic
NFV.S 1,comic
QUANTUM,hero
TB 31,comic
MR. FEAR/ZOLTAN DRAG,hero
SCORPION/MACDONALD G,hero
HUSK/PAIGE GUTHRIE,hero
T 183,comic
W2 161,comic
DD 55,comic
WEAPON X II/GARRISON,hero
US1 3,comic
ZURI,hero
CB2 11,comic
NM 39,comic
TOTZ 6,comic
CA 292,comic
SQS 6,comic
W/G 2,comic
BULLDOZER/HENRY CAMP,hero
SS3 102,comic
OX,hero
SLUJ,hero
DLOK3 4,comic
M/FAN 54/2,comic
KZ2 16,comic
SHADOWCASTER/,hero
M/TU 139,comic
T 483,comic
NF3 25,comic
UX 22,comic
M/TU 122,comic
UX 395,comic
"ASHER, MICHAEL",hero
S-W3 3,comic
H2 435,comic
T2 37,comic
SS3 46,comic
M/VS 1,comic
NF3 21,comic
SENSM 15,comic
XCAL 122,comic
"TOLLIVER, MELBA",hero
T 18,comic
T 341,comic
X:SC 2,comic
"MITCHELL, ROBERT",hero
